10,17,1.0
11,19,1.0
17,24,1.0
21,31,1.0
15,33,1.0
2,35,1.0
10,37,1.0
25,38,1.0
19,43,1.0
33,46,1.0
29,47,1.0
31,49,1.0
46,55,1.0
40,56,1.0
9,57,1.0
49,59,1.0
6,61,1.0
3,64,1.0
51,65,1.0
27,67,1.0
59,69,1.0
51,70,1.0
65,70,1.0
65,73,1.0
40,74,1.0
12,76,1.0
12,77,1.0
30,77,1.0
27,78,1.0
67,78,1.0
6,79,1.0
52,82,1.0
68,83,1.0
3,84,1.0
64,84,1.0
13,87,1.0
74,87,1.0
40,89,1.0
42,90,1.0
31,92,1.0
76,92,1.0
37,96,1.0
39,96,1.0
70,100,1.0
39,101,1.0
41,101,1.0
32,104,1.0
104,105,1.0
30,106,1.0
67,106,1.0
78,106,1.0
55,107,1.0
18,109,1.0
91,109,1.0
76,111,1.0
45,113,1.0
60,114,1.0
54,115,1.0
36,116,1.0
72,117,1.0
13,118,1.0
112,120,1.0
86,122,1.0
12,123,1.0
77,123,1.0
82,123,1.0
55,124,1.0
7,125,1.0
35,125,1.0
13,127,1.0
123,127,1.0
81,128,1.0
26,129,1.0
109,129,1.0
95,131,1.0
96,131,1.0
80,132,1.0
59,133,1.0
69,133,1.0
2,134,1.0
125,134,1.0
85,135,1.0
63,137,1.0
89,138,1.0
33,139,1.0
46,139,1.0
21,140,1.0
31,140,1.0
92,140,1.0
26,141,1.0
95,141,1.0
51,150,1.0
70,150,1.0
56,152,1.0
86,152,1.0
127,152,1.0
75,153,1.0
4,154,1.0
60,155,1.0
114,155,1.0
32,156,1.0
104,156,1.0
28,159,1.0
34,161,1.0
112,162,1.0
23,163,1.0
30,164,1.0
133,164,1.0
40,169,1.0
56,169,1.0
74,169,1.0
89,169,1.0
122,169,1.0
152,169,1.0
86,170,1.0
89,170,1.0
138,170,1.0
45,171,1.0
52,173,1.0
95,173,1.0
148,173,1.0
25,174,1.0
38,174,1.0
69,175,1.0
108,175,1.0
133,175,1.0
112,177,1.0
162,177,1.0
94,179,1.0
165,179,1.0
102,180,1.0
107,181,1.0
167,181,1.0
111,182,1.0
139,182,1.0
8,183,1.0
151,183,1.0
85,185,1.0
174,185,1.0
22,186,1.0
173,187,1.0
18,188,1.0
58,188,1.0
13,190,1.0
107,190,1.0
167,190,1.0
90,191,1.0
49,192,1.0
59,192,1.0
140,192,1.0
30,194,1.0
59,194,1.0
67,194,1.0
18,195,1.0
170,195,1.0
188,195,1.0
42,196,1.0
90,196,1.0
191,196,1.0
88,197,1.0
136,198,1.0
24,199,1.0
148,199,1.0
36,200,1.0
121,201,1.0
159,201,1.0
117,202,1.0
50,203,1.0
175,205,1.0
184,206,1.0
45,207,1.0
113,207,1.0
171,207,1.0
7,208,1.0
9,209,1.0
32,209,1.0
88,209,1.0
156,209,1.0
82,210,1.0
123,210,1.0
71,211,1.0
147,211,1.0
10,212,1.0
37,212,1.0
9,213,1.0
32,213,1.0
104,213,1.0
156,213,1.0
11,214,1.0
19,214,1.0
48,214,1.0
29,215,1.0
26,217,1.0
109,217,1.0
23,218,1.0
58,218,1.0
163,218,1.0
178,219,1.0
14,220,1.0
48,220,1.0
47,221,1.0
